interval_start_utc,interval_end_utc,publish_time_utc,region,planned_outages_mw,maintenance_outages_mw,forced_outages_mw,total_outages_mw
2025-07-13 04:00:00+00:00,2025-07-14 04:00:00+00:00,2025-07-11 04:00:00+00:00,Mid Atlantic - Dominion,0,4896,2463,7359
2025-07-13 04:00:00+00:00,2025-07-14 04:00:00+00:00,2025-07-11 04:00:00+00:00,PJM RTO,0,9348,8184,17532
2025-07-13 04:00:00+00:00,2025-07-14 04:00:00+00:00,2025-07-11 04:00:00+00:00,Western,0,4452,5721,10173
2025-07-13 04:00:00+00:00,2025-07-14 04:00:00+00:00,2025-07-12 04:00:00+00:00,Mid Atlantic - Dominion,0,4539,3288,7827
2025-07-13 04:00:00+00:00,2025-07-14 04:00:00+00:00,2025-07-12 04:00:00+00:00,PJM RTO,0,10588,9581,20169
2025-07-13 04:00:00+00:00,2025-07-14 04:00:00+00:00,2025-07-12 04:00:00+00:00,Western,0,6049,6293,12342
2025-07-13 04:00:00+00:00,2025-07-14 04:00:00+00:00,2025-07-13 04:00:00+00:00,Mid Atlantic - Dominion,0,3639,5567,9206
2025-07-13 04:00:00+00:00,2025-07-14 04:00:00+00:00,2025-07-13 04:00:00+00:00,PJM RTO,0,9319,12358,21677
2025-07-13 04:00:00+00:00,2025-07-14 04:00:00+00:00,2025-07-13 04:00:00+00:00,Western,0,5680,6791,12471
2025-07-14 04:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-08 04:00:00+00:00,Mid Atlantic - Dominion,0,1173,2659,3832
2025-07-14 04:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-08 04:00:00+00:00,PJM RTO,0,2686,7551,10237
2025-07-14 04:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-08 04:00:00+00:00,Western,0,1513,4892,6405
2025-07-14 04:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-09 04:00:00+00:00,Mid Atlantic - Dominion,0,2150,2359,4509
2025-07-14 04:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-09 04:00:00+00:00,PJM RTO,0,4590,7333,11923
2025-07-14 04:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-09 04:00:00+00:00,Western,0,2440,4974,7414
2025-07-14 04:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-10 04:00:00+00:00,Mid Atlantic - Dominion,0,2130,2337,4467
2025-07-14 04:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-10 04:00:00+00:00,PJM RTO,0,4584,7780,12364
2025-07-14 04:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-10 04:00:00+00:00,Western,0,2454,5443,7897
2025-07-14 04:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-11 04:00:00+00:00,Mid Atlantic - Dominion,0,2838,2519,5357
2025-07-14 04:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-11 04:00:00+00:00,PJM RTO,0,6300,8074,14374
2025-07-14 04:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-11 04:00:00+00:00,Western,0,3462,5555,9017
2025-07-14 04:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-12 04:00:00+00:00,Mid Atlantic - Dominion,0,2825,2889,5714
2025-07-14 04:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-12 04:00:00+00:00,PJM RTO,0,7802,8758,16560
2025-07-14 04:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-12 04:00:00+00:00,Western,0,4977,5869,10846
2025-07-14 04:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-13 04:00:00+00:00,Mid Atlantic - Dominion,0,2804,4014,6818
2025-07-14 04:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-13 04:00:00+00:00,PJM RTO,0,7779,10233,18012
2025-07-14 04:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-13 04:00:00+00:00,Western,0,4975,6219,11194
2025-07-14 04:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-14 04:00:00+00:00,Mid Atlantic - Dominion,0,1646,5474,7120
2025-07-14 04:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-14 04:00:00+00:00,PJM RTO,0,6869,13220,20089
2025-07-14 04:00:00+00:00,2025-07-15 04:00:00+00:00,2025-07-14 04:00:00+00:00,Western,0,5223,7746,12969
2025-07-15 04:00:00+00:00,2025-07-16 04:00:00+00:00,2025-07-09 04:00:00+00:00,Mid Atlantic - Dominion,0,4017,1650,5667
2025-07-15 04:00:00+00:00,2025-07-16 04:00:00+00:00,2025-07-09 04:00:00+00:00,PJM RTO,0,6337,6468,12805
